Pick,Ross,Jawad,Tilo,Jared,AJ,AJRejects,Nobody
1,0,0,0,40,0,0,0
2,0,35,0,40,0,0,0
3,0,35,0,40,45,0,0
4,0,35,35,40,45,0,0
5,0,35,35,75,45,0,0
6,45,35,35,75,45,0,0
7,45,35,70,75,45,0,0
8,45,35,70,110,45,0,0
9,80,35,70,110,45,0,0
10,125,35,70,110,45,0,0
11,125,35,110,110,45,0,0
12,125,75,110,110,45,0,0
13,125,75,110,140,45,0,0
14,165,75,110,140,45,0,0
15,195,75,110,140,45,0,0
16,225,75,110,140,45,0,0
17,255,75,110,140,45,0,0
18,255,75,110,140,75,0,0
19,255,75,110,140,105,0,0
20,255,75,150,140,105,0,0
21,255,100,150,140,105,0,0
22,255,100,150,140,105,0,25
23,255,100,150,140,105,0,60
24,280,100,150,140,105,0,60
25,280,100,150,175,105,0,60
26,280,100,150,200,105,0,60
27,280,100,150,200,130,0,60
28,280,100,150,200,130,0,85
29,280,100,150,225,130,0,85
30,280,100,150,225,155,0,85
31,280,135,150,225,155,0,85
32,280,135,150,225,180,0,85
33,280,135,150,245,180,0,85
34,280,155,150,245,180,0,85
35,310,155,150,245,180,0,85
36,310,155,180,245,180,0,85
37,330,155,180,245,180,0,85
38,360,155,180,245,180,0,85
39,360,155,180,245,210,0,85
40,360,155,180,275,210,0,85
41,360,155,180,275,230,0,85
42,360,185,180,275,230,0,85
43,360,215,180,275,230,0,85
44,360,215,180,275,250,0,85
45,360,215,180,305,250,0,85
46,360,215,180,335,250,0,85
47,380,215,180,335,250,0,85
48,380,245,180,335,250,0,85
49,380,245,180,350,250,0,85
50,380,245,180,375,250,0,85
51,380,245,180,375,265,0,85
52,380,270,180,375,265,0,85
53,380,270,180,375,280,0,85
54,380,270,180,375,280,0,100
55,380,285,180,375,280,0,100
56,380,285,180,375,280,0,115
57,380,285,195,375,280,0,115
58,380,285,195,400,280,0,115
59,380,285,195,425,280,0,115
60,380,285,210,425,280,0,115
61,380,285,210,425,280,15,115
62,380,285,225,425,280,15,115
63,380,285,225,425,295,15,115
64,380,285,240,425,295,15,115
65,380,285,240,435,295,15,115
66,380,285,240,435,295,35,115
67,380,285,240,445,295,35,115
68,380,295,240,445,295,35,115
69,380,295,240,445,305,35,115
70,380,315,240,445,305,35,115
71,380,315,240,465,305,35,115
72,380,315,250,465,305,35,115
73,380,315,250,465,305,35,135
74,380,315,250,465,325,35,135
75,380,315,250,465,325,35,145
76,380,315,250,485,325,35,145
77,390,315,250,485,325,35,145
78,400,315,250,485,325,35,145
79,400,315,250,485,325,35,165
